image_filename,final_country,final_city,final_place,date,description,transcription,reason,landmarks_identified,historical_record_uuid,,,,,,,,,,,,,
0000e1ed-23b8-5fe8-bca7-41278f301a83.jpg,Netherlands,Weesp,Stationsbuurt,1900s,"Black-and-white vintage postcard showing a Dutch town scene with a canal, a drawbridge or lock area, a group of people gathered on the street, a windmill to the left, and a church spire in the background. A small white building stands by the water. Printed captions in Dutch identify the view and the town of Weesp.","UJEN NAUTA, WEESP. 1037.
Stationsbuurt. - WEESP.","The layout, border, and printed caption style are typical of early 20th‑century picture postcards. The caption explicitly mentions 'WEESP', a historic town in the Netherlands, and 'Stationsbuurt' (Dutch for station neighborhood). The windmill, canal, and architectural style are characteristically Dutch. The low photo contrast and clothing of the people suggest the early 1900s, likely around the 1900s decade.",Grote Kerk (https://www.wikidata.org/wiki/None),bd432cb2-598d-5896-9fa7-b4963016699f,,,,,,,,,,,,,
0004b8e3-569b-5097-85ba-f47600700c3f.jpg,Germany,Torgau,Schloss Hartenfels,1900s,"A vintage black-and-white postcard featuring a whimsical, photomontage-style image of a man in a suit and bowler hat, holding an umbrella and briefcase, 'flying' over a grand castle, a bridge, and a river. The scene is captioned in German. Below, printed text notes a trip to Torgau and a publisher detail.","Ein Ausflug nach Torgau.
3886 Brück & Sohn, Meissen 1904",,Schloss Hartenfels (https://www.wikidata.org/wiki/Q2241454),8db89a3b-32ca-5581-b5e3-aad92c1cc959,,,,,,,,,,,,,
000900ea-d502-521f-8501-474636c03a5c.jpg,United States,Los Angeles,St. James Park,1910s,"A vintage colorized postcard view of a lush city park lined with tall palm trees. In the center foreground stands an ornate multi-globe streetlamp on a stone base, with walkways, trimmed shrubs, benches, and additional trees visible in the background. The printed caption at the bottom margin reads ""St. James Park, Los Angeles, Cal.""","St. James Park, Los Angeles, Cal.","The layout, caption placement, and colorized lithographic style match early 20th‑century American postcards. The text explicitly names St. James Park in Los Angeles, California (abbreviated as “Cal.�? common in pre�?920s cards). The imagery of ornamental palms and a decorative lamppost is consistent with historic photographs of that park from the early 1900s.",,d26a453f-9bce-5482-a9d1-9b9367b9e5e2,,,,,,,,,,,,,
00097363-7d53-5c04-ad30-d2afc46aeabc.jpg,Latvia,Ventspils,Ventspils Port,1910s,"Sepia-toned vintage photograph of a small steam-powered workboat or tugboat on an industrial harbor or river. Smoke pours from a tall funnel marked with the letter 'R'. Two men stand on deck. In the background are long warehouse buildings, a tall grain-elevator- or factory-like structure, and an elevated conveyor crossing above the quay. The water in the foreground reflects the boat and buildings. There is no visible printed caption, only the photograph image, with a vertical crease down the center suggesting age or folding.",R,"The card has the format, aging, and crease pattern typical of early 20th‑century real-photo postcards. The subject is a small steam tug or harbor workboat, a common postcard motif around 1900�?920. The industrial harbor architecture, dress of the men, and the steam-powered vessel suggest the 1910s era. However, there are no clear linguistic signs, flags, or uniquely identifiable buildings to pinpoint a specific country, city, or landmark, so those fields must remain unknown.",,c4127158-8370-5acb-9083-40a23a23f6ae,,,,,,,,,,,,,
000ce8ce-7bf1-56ed-8dcd-f90f3c9151bd.jpg,China,Beijing,"Summer Palace, Longevity Hill (Wanshoushan)",1900s,"Sepia image of a Chinese-style stone bridge with a small pavilion on top, spanning water in an imperial garden. The front leaves a large blank area for writing; a faint German caption runs beneath the picture. The reverse reads in German and French with dotted address lines.","POSTKARTE �?WELTPOSTVEREIN
Carte postale �?Union postale universelle
Im Kaiserlichen Garten zu Wan-schou-shan bei Peking.","German-language postcard back with 'Weltpostverein' and undivided-back layout typical of ca. 1900s. The German caption identifies the scene as the Imperial Garden at Wan-shou-shan near Peking, i.e., the Summer Palace in Beijing. Many such cards were printed in Germany for export.",,19bec729-22eb-58fe-a2df-b58d95747815,,,,,,,,,,,,,
0015868f-d5e5-5c50-8d2b-b6e865fe47bf.jpg,Austria,Graz,Glacisstraße,1900s,"Black‑and‑white historic street view labeled ""Graz. Glacisstraße."" It shows a broad, tree‑lined avenue with tram tracks curving along a cobblestone road. On the right are multi‑story 19th‑century buildings with ornate facades; on the left is a promenade with bare trees, benches, and pedestrians in early 20th‑century clothing. A tram and several people are visible in the distance.","Graz.
Glacisstraße.","The printed caption explicitly names Graz and Glacisstraße, a known avenue in Graz, Austria. The cobblestone street with tram tracks, the architectural style of the buildings, and the clothing of the pedestrians suggest an early 20th‑century European urban scene, likely around the 1900s. The layout and framing are typical of period picture postcards.",,d25a1ae8-c11b-5ec8-af28-f7cd67d50df3,,,,,,,,,,,,,
00188964-8e08-5496-8a4b-c1f65742940f.jpg,Greece,Rethymno,Arkadi Monastery,1910s,"The postcard features a black-and-white photograph of a group of Orthodox monks and priests, most with long beards and traditional religious robes. There are three rows of individuals, seated and standing, posed outdoors in front of a natural backdrop. Below the image is text in both French and Greek.","Le personnel du Couvent historique
Το Προσωπικον της Ιστορικής Μονής Αρκαδίου","The Greek and French text refers to the staff of the 'historic monastery' of Arkadi (Μονή Αρκαδίου), a famous religious site located near Rethymno, Crete, Greece. The traditional Orthodox clerical attire, beards, and cross necklaces indicate Orthodox Christian clergy. The use of both French and Greek text suggests a period when French was used internationally, and the style and attire suggest the early 20th century.",,bd9cb154-3c5c-575d-b28a-9489d3e0f1fc,,,,,,,,,,,,,
0019349c-538e-5ed5-8804-48c14eff3a03.jpg,Sweden,Västerås,,1910s,"A tinted vintage view over a riverside or coastal town, seen from an elevated position. In the foreground are tightly packed wooden and stone buildings with steep metal roofs, chimneys, and tree-lined streets. To the right is a long rectangular waterfront building with an arcade-like facade. The middle ground shows several small piers and boats along a curving shoreline. Across a wide expanse of calm water lies a low, sparsely built strip of land, with more water and low hills in the hazy distance. The sky is lightly colored blue with a few clouds. There is no visible printed or handwritten text on the image side.",,"The card has the sepia base with selective light color tinting typical of early 20th‑century European postcards (roughly 1900�?920s). The architecture shows dense wooden townhouses with metal roofs and simple classical detailing, characteristic of small Swedish cities before widespread modernization. The waterfront with docks along a broad, calm body of water suggests an inland lake or wide river rather than an open sea harbor. The general layout and shoreline resemble historic images of Västerås on Lake Mälaren more than major ports like Stockholm or Gothenburg. However, no text or unique landmark is visible, so the identification of Västerås and Sweden is an informed but speculative attribution; the decade estimate is based on the photographic style and coloring process.",,ba6dae1e-aaea-57f1-836b-d603ee4c6162,,,,,,,,,,,,,
001a345e-2ef2-5ab3-a0eb-2eca2d637853.jpg,Netherlands,Zaandam,"Zaanse Schans (De Os windmill, Kalverringdijk)",1920s,"A sepia-toned image showing a calm river scene with two people rowing a small boat in the foreground. In the background, there are classic Dutch windmills and a barn-like building. The landscape is flat, with reeds lining the water's edge. The number '235.' appears in the bottom left corner.",235,"The presence of traditional windmills and flat water-rich landscape is iconic for the Netherlands, specifically the Zaanse Schans area near Zaandam, which is famous for preserved historic windmills. The sepia tone and style suggest an early 20th-century period, likely around the 1920s.",,400cdcd7-1845-5a27-9909-0526529a8070,,,,,,,,,,,,,
001c39be-298c-53da-a8be-a9527a378a38.jpg,Germany,Sangerhausen,Europa-Rosarium Sangerhausen,1900s,"A black-and-white postcard depicting a classical-style statue of a woman in flowing robes standing among a rock garden or landscaped park. The statue holds a jug and the background features rolling hills, several trees, and what appears to be a rural or semi-natural landscape. There is an arched trellis and some sparse vegetation around the statue.",Goethe-Kunnen,"The text 'Goethe-Kunnen' refers to Johann Wolfgang von Goethe, a major German literary and cultural figure based in Weimar. The classical statue style and landscaped garden background are typical of 19th to early 20th-century German parks, particularly those associated with notable cultural figures. The design and monochrome print are also typical of postcards from the early 1900s.",,8fac45f2-74a8-5abc-a68d-1486c142c71b,,,,,,,,,,,,,
